Comment|No|Yes|Kind of offensive language
To najbardziej rzetelni dziennikarze w Polsce. Nie ulega to wątpliwości.Mogą je mieć tylkoludzi ciemni, nie myślący samodzielnie, ktorym do szkoły było bardzo pod górkę.|4|0|1
To prymitywny, pisowski elektorat, kibole i chuligani, oni przecież używają takiego języka, a ty Misiu nie bredź i nie używaj języka nienawiści, bo Polacy się różnią poglądami i mentalnością, a jak tego nie rozumiesz, to się dokształć, choć pewnie już za późno, pranie mózgu przez PIS zrobiło swoje.|7|4|1
szczujcie dalej pisowcy, niech ludzie zaczną się zabijać ,a księża popierający pis was rozgrzeszą|2|1|1
Brawo Kurski bo ten kanał zamknie zakłamane , chamskie i opluwające Polskę szkodliwe POwalaone ryje bo nie bedą mobły roznosić po świecie kłamliwych i szkodzących naszej ojczyżnie sensacje na razie kwiczą oderżnięcie ryjów od koryt ale morze przyjść czas że będą kwiczeć z bólu|3|1|1
to co ZJ****ni KODowcy, kiedy ten protest przeciwko PO? zdelegalizować tą partię to bo przecież zamach na demokrację!|125|76|1
RUDEGO PRZED TRYBUNAŁ STANU!|108|3|1
no to Schetyna ganiaj na skarge do niemiaszkow..na co czekasz????toc demokracja sie wali...sorki..sami POwaliliscie demokracje|146|125|1
Pissowski szmatławiec rzczpospolita i jej bzdety dla zmiany tematu od zbrodniczej działalności sekty piSS. Ludzie już tego nie kupią|4|1|1
to ryży cham!!!|108|6|1
Islam to doktryna społeczna, której celem jest bezwzględna dominacja nad światem i zniszczenie innych kultur. Z resztą słowo "kultura" jakoś dziwnie nie pasuje do brunatnych małpoludów, nie znających ludzkich praw.|13|1048|1
Nie mogę się doczekać, aż ten szkodnik pójdzie siedzieć.|31|12|1
ODEBRAĆ TUSKOFI OBYWATELSTWO POLSKIE !!!|109|4|1
Dopiero teraz Trzeba bylo dwadziescia lat temu gdy zyli swiadkowie A zreszta gdzie jest teczka Majac wladze trzeba bylo ja pilnowac Byl to glejt do oczyszczenia A tak mlodzi bardzo mlodzi tak zapamietuja Walese Szok a co bedzie po pana smierci Strach pomyslec Chyba swoj pomnik trzeba postawic na ksiezycu bo tam dotrze niewielu Tu na ziemi masz i bedziesz Pan mial przesrane|42|19|1
Boi się ryża małpa by nie dostać się pod Trybunał, panika|31|8|1
zdrajca|31|8|1
POZDRAWIAMY PANA LECHA WAŁESĘ I SZANUJEMY I NIC TEGO NIE ZMIENI PROSZĘ NIE PRZEJMOWAĆ SIĘ TYMI CO PLUJĄ BO WIATR MOŻE SPRAWIĆ IM KIEDYŚ FIGLA I SAMI ZOSTANĄ OBRYZGANI|9|1|1
Bolek nie kłam Twoj syn tez miał pomrocznosc jasną Bolek zdrajco co jeszcze wymyslisz ? Sam brales swoje papiery i zwróciles z brakami Kłamca zdrajca i złodziej|71|36|1
Tusk , KOD i inni , opamiętajcie się ! Szkalujecie demokratycznie wybrany rząd . Taka demokracja wam nie pasuje ?! Historia wam tego nie zapomni . Kiedyś będziecie  w podręcznikach jako neotargowiczanie .|52|21|1
ty ZDRAJCO!!!!!!!!|104|63|1
Sprzedawczyk tusk pomaga merkelowej  odwracac uwage od syfu w niemczech pies jeden|103|66|1
Tylko taki smiec antypolski moze atakowac nie swoja ojczyzne ,wnuk dziadka z wermachtu,nie ukryje pochodzenia taka prawda.Grabiezca Polski.|12|4|1
Kobiety dawajcie same, żeby nie trzeba było was gwałcić.|1|0|1
Rudy zdrajca ...|44|24|1
Ty rudy zapominasz żeby zostać na drugą stronę kadencję musisz mieć poparcie także PiS w Europarlamencie, chyba robisz wszystko by przepaść.|52|23|1
to jest efekt kaczyzmu w Polsce i w mediach typu radio erewań.................napuszczanie kaczora na ludzi stało się już normą w tym kraju.........to też ta dobra zmiana........................|6|1|1
Kaszub bedzie dalej niszczył ten kraj|53|29|1
Bredzisz folksdojczu, WSI zarządza nadal ich pieszczoch, niekumaty Komorowski, bo z agentury nigdy się nie wychodzi, to dożywocie...|1|0|1
Panie Prezydencie, niech się Pan nie zniża do tych maluczkich ludzi. Pan trzynastego grudnia nie spał do południa !!!!|4|3|1
A co ma innego do zaproponowania wnuczek dziadka z Wermachtu?|52|23|1
taki  audyt  to  można  w  d......  wsadzić.Audyt  wykonany  przez  kogo  Błaszczaka  czy  jak  mu  tam  a  może  Ziobre .   Wiadomo  że  narobią  rabanu   sami  nagrywali  podsłuchiwali.  Jak  myślicie   kto  zlecił  te  nagrania  gdzie  nagrywana  była  tylko  PO  PSL  Lewica  a  nikt  z  PiS-u   .  Takie  audyty  do  pozywaka  na  własne  nieudacznictwo  ,gdzie  te  obietnice  reform  finansowych  gdzie  ta  kasa  co tak miała  być  jak  była  kampania   ale  teraz  trzeba  krzyczeć  aby  zakryćwłasne  ciemne  sprawki|9|1|1
(Bolku)Wałeso jeszcze żyja ludzie których oszukałes i wiedzą dobrze co zrobiłes ,czas nadszedł aby naród w końcu dowiedział sie całej prawdy o tobie !!! Wszystkie tytuły i nagrody zostana ci odebrane !!! Nie zasługujesz na nie sprzedawczyku !!!|43|21|1
Język rynsztoka.Nikogo nie interesujesz ,zejdz z oczu nicości!|41|20|1
No tak.Wolność zawdzięczamy Jarosławowi Kaczyńskiemu. Szok.Głupota.Zawiść małego ludzika|7|6|1
tw bolek ty sb-ecki śmieciu zdradziłes klase robotnicza sprzedałeś żydom i innym kanciarzom, na pohybel ci|31|14|1
TARGOWICA wstyd że ci ludzie są Polakami a sprzedają własny kraj. Można nie popierać PIS ale ludzie plucie na własny kraj co wiąże się z wymiernymi stratami ekonomicznymi dla 100% Polaków.|158|96|1
zdrajca niech szczytuje z bienkowską|32|9|1
zdrajca!!!!!|108|3|1
Za plucie na własny kraj i zdradę- TK|52|30|1
Lepiej by było gdyby Pic Donald sobie szczytował z  Elą  Barbi !|32|13|1
Bolku zamilcz, bo wijesz się jak wąż. Poza tym tylko winni się tłumaczą kłamco........... Że też ktoś taki jak ty był prezydentem Polski....|1134|770|1
TW Balbina  - czyto nie jest przypadkiem ten gej co teraz rządzi krajem?|6|1|1
wystarczy poczytać komentarze pod artykułami trole pisowskie nie znają innego języka jak język nienawiści a przecież to opłacani pracownicy pisu i szefa pisu wykonują polecenie to gdzie ta prokuratura szuka no chyba że tak szuka żeby nie  szukać a się nie doszukać, zresztą sam Kaczyński namawia, mówi otwarcie że przydeptać trzeba gardło no jeszcze po nazwisku nie wymienia komu ale dobrze byłoby sprawdzić|7|2|1
taki  audyt  to  można  w  d......  wsadzić.Audyt  wykonany  przez  kogo  Błaszczaka  czy  jak  mu  tam  a  może  Ziobre .   Wiadomo  że  narobią  rabanu   sami  nagrywali  podsłuchiwali.  Jak  myślicie   kto  zlecił  te  nagrania  gdzie  nagrywana  była  tylko  PO  PSL  Lewica  a  nikt  z  PiS-u   .  Takie  audyty  do  pozywaka  na  własne  nieudacznictwo  ,gdzie  te  obietnice  reform  finansowych  gdzie  ta  kasa  co tak miała  być  jak  była  kampania   ale  teraz  trzeba  krzyczeć  aby  zakryćwłasne  ciemne  sprawki|9|1|1
Ot naczelny pisdzielec dal glos, reszta pisdzielcow na kolanach z pokora wysluchala/przeczytala, tylko jakos dziwnie nikt spoza pisdzielcowa nie widzi tej "prawdy objawionej", a nawet wrecz przeciwnie, no i jeszcze ta brzydka zagranica...|8|7|1
sprzedawczyk|108|6|1
a chcesz  w ryj?|1|0|1
Panie Prezydencie nie głosowałem na Pana ale te małoletnie bojówki Kaczyńskiego to już totalne przegięcie ,popieram tym razem Pana.|8|7|1
czego plujecie wypierdki mamuta, dzieki temu czlowiekowi, mozecie na forum gadac co chcecie, glupio lub madrze wasz interes. umiar i szacunek i milosc do blizniego - KATOLICY|4|1|1
TUSK, BIEŃKOWSKA, DWIE ŻAŁOSNE KUKIEŁKI, kto nimi steruje?!|108|6|1
"....jezeli te informacje sie potwierdza, bedziemy mieli..."  "....wszystko bowiem wskazuje na to.... " - dziennikarzyna belkoce , a ciemny lud to kupuje co widac po wpisach na forum :-)|7|1|1
Priorytetem Wałęsy nie były interesy Watykanu! Dlatego został obrzucony paszkwilem. Kto pucuje ich buty i produkuje im ustawy ten ma poparcie i przychylną propagandę w tym kraju.|7|0|1
a co kogo obchodzi zdanie tego zdraycy|157|95|1
A _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _  REWOLUJA, rekordy popularnosci bija muszle toaletowe z nadrukowana podobizna D.Tucka oraz R.Piertu na dnie, sprzedaz przerosla najsmielsze oczekiwania!!! nawet sam lider opozycji R.Pietru nie ukrywa zadowolenia, propaganda TVN/Polsatu/G.wyborczej przyniosla efekty nawet tam gdzie zwykle nie dociera! polskie PKB juz po kilku dniach wzroslo o 0.5pkt %, zamowienia sa z calej Europy a nawet a USA, zapraszamy do zakupow! Sa tez edycje limitowane z Premierem Tuckiem na tle parabanku Amber Gold trzymajacego sztabe zlota o szacowanej wartosci 1 500 000 polskich zl !!!|3123|2626|1
ryży zdrajca pod trybunał, największy szkodnik społeczny;|158|99|1
Kler zawsze miał super ciemniaki im to dały đ|2|0|1
Jedyne co tej pisowskiej wszy wychodziło najlepiej,to podłączanie sie pod policyjny konwój.|2|0|1
Gnoje!!!!!powinniscie mu podziekowac za wolna Polske, za to ze mozecie podrozowac po swiecie!!!!!!!! Itp itp itp....|10|2|1
Panie Lechu... Pan jest dalej WIELKI...A ci co krzyczą i obrażają są  karłami już nie tylko z "garbami" ale z garbatą psychiką. Oni plują ale pod wiatr.... Z wyrazami szacunku dla Pana.|4|0|1
nagonka PIS duchów Panie Prezydencie, nie brać do bani poczekać 4 lata i wyczesać tych hipokrytów kato - patriotów. Prezes ponoć jest synem esbeka i dobrze się trzyma , nawet przejął jego metody  - nocne najścia , jednoosobowe dowodzenie ....|2|1|1
Zdrajca Narodu Polskiego!|1198|148|1
Tusk to zdrajca Polski i prawdopodbnie agent niemiecki|53|23|1
ten kto oczernia Walese to tajny byly UBek lub z takiej rodziny albo ZAZDROSNIK|8|1|1
I tak będziesz siedział w więzieniu , zdrajco narodu polskiego.|107|76|1
Boże  widzisz i  nie  grzmisz, jak  taki  wróg  Polski mógł mieć  władzę w  POlsce? Zdrajca  !!!!!!!!    2  sort  !|108|6|1
Brawo aga widac co za tepota hejtuje|3|1|1
Śmieje się jak głupi do sera...tak kiedyś mówiono|1|0|1
PO-wcom tylko stale w głowie zagrożenie demokracji. Wy cholerne sprzedawczyki antypolskie. Spieprzać już raz na zawsze z tego kraju. Ja sie PiS-u nie boję i tego zagrożenia rzekomej demokracji. To wy szczujecie ludzi bo was od koryt odsunięto.|82|36|1
Najgorsza zakala i zdrajca naszego narodu POwinni zakazac mu powrotu do polski za oczernianie polakow platfusy niemoga przebolec przegranej jedyna droga powrotu tylko na sybir.|84|48|1
Tusk! Ty zdrajco! Straszysz Polskę i Polaków? Każdy przedstawiciel Polski poza naszymi granicami, który nie staje w Naszej obronie, bez względu kto rządzi w Polsce i z jakiej partii On sam pochodzi, jest zdrajcą i sprzedawczykiem !|73|38|1
Tego potomka wermachtowca pod sąd powszechny dla kryminalistów, a nie pod trybunał stanu.|52|27|1
ten człowiek powinien jedynie dyskutować z lekarzami na temat własnego rozumu bo inna debata to niby kogo z kim....|33|14|1
Właśnie za takie machlojki dziennikarskie poleciała Tadla i Kraśko. Dlaczego ten znak zapytania w tytule - to jest przykład jak można sterować opinią  publiczną!!!!! Widać to PO wpisach, ilu jeszcze idiotów jest w Polsce!!!|35|23|1
Tusk, przyznaj się: jesteś agentem Stasi o kryptonimie "Oskar"?|31|9|1
rudy to kolaborant !|102|65|1
Ryszawy ty lepiej nie wracaj!!!!|156|94|1
TUSK to zdrajca , lepiej niech siedzi cicho !!! Słuchanie Merkel na dobre mu nie wyjdzie !!!! No chyba , że nigdy mu na Polsce nie zależało !!!!!|108|7|1
Iran irak syria Iran Izrael zniszczyć trzeba do zera same zło czynią tylko pusttyne kmiotki A toyota im hilux sprzedaje żeby na pace działa montowali|0|0|1
Polacy musimy bronić swego Kraju i POgonić z niego zdrajców złodzieji i oszustów|52|27|1
Pisiory juz zaczynacie swoja propagande. Smutne to|10|0|1
Dziadek ma Alzhaimera niestety. Z wiekiem to normalka.|53|25|1
Mow za siebie polglowku.|6|0|1
ot sprzedawczyk, ale i tak nie uniknie kary za afery Amberd Gold itp. - najpierw należy rozliczyć tego łachudrę przed sądem w Polsce|37|17|1
zbulwersowana.....a nie bulwersuje Cię fakt, że "parszywy" Towarzysz Balbina, pseudo Jarosława Kalkstein/Kaczyńskiego, to znany syn warszawskiego komucha i nacjonalistycznego Żyda Rajmunda  Kalkstein/Kaczyński, który pomagał Sowietom w wyłapywaniu członków polskiego podziemia  AK, oraz był jednym z 3-ech osób, które to wydały w łapy gestapo polskiego generała Grota.........a kto wie, czym mógł zaimponować oficerowi SB Jarosław Kalkstein/Kaczyński, że ten po odmowie podpisania lojalki wypuścił go wolno i nigdy już nie nękał?....|9|7|1
Panie prezydencie niech pan nie debatuje z tymi pisowskimi fagasami, nie są Panu butów warci lizać. Dziękujemy za wyzwolenie Polski od komuny, a niewiarygodnymi mendami nie ma co się przejmować|6|1|1
O mój Boże ,następna afera sfabrykowana przez pisl@mistów.|6|0|1
bo tyś cham większej wody paryżolu|1|0|1
to są koledzy towarzysza  piotrowicza ten sam styl napuszczania jednych na drugich,robił tak gomółka ..........bolszewizm w czystej postaci......teraz towarzysz pierwszy sekretarz PZPR kaczyński robi to samo........ostatnio w tz.tv,narodowej napuszcza się opinię publiczną na Niemców aby podsycać tą nienawiść ,w dzisiejszych wiadomościach dziś wzięto się za Wałęsę...........co do TK. to pamiętam co kaczyński i jego eunuchy mówili na temat sędziów Trybunału,no i skutki tej nagonki się objawiają w postaci gróżb karalnych,tylko jak patrzę na ostatnie poczynania komendanta policji ,to nie wydaje się aby policja znalazła osoby,które wypisują te grożby ................................|3|1|1
Nastepna akcja maluczkiego Geobelsa pis pana "glupi to kupia" kurskiego szefa  TVPISS .Ten slawny "tworca" propaganowek pisu zostal wynagrodzony przez prezesa .SZCZWANY WILK "pilnuje " owieczek.|10|2|1
Tusk dla Polaków jest zwykłym zdrajcą.|102|77|1
Tak, niech wraca, chcę jego głowy|51|21|1
Zaczęła sie kolejna transformacja i tworzenie nowej parti gdzie wylądują przy następnych wyborach to Nowoczesna. Ludzie zapomną o Unii Wolności, Platformie Obywatelskiej i dalej zagłosują na kaprawe mordki tych samych oszustów. Wariant awaryjny to stworzenie nowej partii z tymi samymi dzialaczami. To już się dzieje, ale liczę na rozsądek i uczciwość wyborców, ktorzy ocenią poprzednie i obecne rządy sprawiedliwie.|51|32|1
Też nie daruję i jak się zdarzy okazją to nakopię do dooopy parobkowi.|1|0|1
No tak a od kiedy to Ubeku jestes z kosciołem związany?|1|0|1
Ten zdrajca po zakończeniu kariery w Brukseli do Polski już nie wróci, czeka go tu Trybunał Stanu a może nawet i więzienie za Smoleńsk. On o tym dobrze wie, teraz chroni go immunitet to przyjeżdża. Niemcy za zasługi jakie dla nich zrobił w "wykańczaniu Polski", przygarną go do siebie.|158|90|1
Słyszałeś coś tam, coś tam i jak to Wolak przekręcasz kota ogonem. Najbardziej popularna okazała się seria muszli klozetowych z podobiznami Satrapy, Kukiełki i Atrapy.|4|3|1
pozbawić tego szkodnika obywatelstwa z zakazem wjazdu do Polski!|71|22|1
idz do kryminalu.. ty matolei nieuku :RTYU|1|0|1
Bendem Pałować... BOLEK jebnij się w ten tępy baniak...|2|1|1
aleś ty głupi może jakiś rusek taką gadkę kupi|1|0|1
Macie k...a swojego patriotę!|406|309|1
ja tam w PISowskie audyty nie wierzę. Nadzór nad Policją ma Płaszczak, mam mu zaufać? nie da się. Poza tym myslę, że Macierewicz ze skazańcem ułaskawionym Kamińskim w tym maczali palce, oni potrafią wszystko przekręcić i sfałszować. Poza tym im źle z oczu patrzy, a już ten Kamiński - jego mina jakby ciągle miał biegunkę no i wygląda jakby non stop pił. Macierewicz ma skłonności do młodych chłopców, nawet pomoc aptekarza zatrudnił jako rzecznika, no, ale taki ładny chłopiec ........|7|1|1
Zdrajca|53|22|1
Eryk, odrobine szacunku dla tego pokolenia. Gdyby nie Wałęsa i inni walczący a i większości narodu polskiego do dzisiaj byłaby komuna, mur berliński , ZSRR. Jesteś młody i po wpisie widać zbyt głupi żeby się rozwijać skoro nie potrafisz docenić tego co jest teraz w Polsce i Europie. Musztarda i ocet w sklepach, wyjazdy tylko do demoludów i to z paszportem, zero wolności słowa, podsłuchy, dziwne aresztowania...dużo wymieniać. Jesteś niedouczonym i niedoinformowanym smarkiem, karierowiczu od siedmiu boleści... Wkurzyłeś mnie na maxa|3|0|1
WITAĆ W MOHEROWYM TEŻ. DO KORYTA TO PIS NIE IDZIE?|32|8|1
Jeszcze cie spotka kara zdrajco!!!|402|295|1
chętnie go kopnę w d... drań i sprzedawaczyk|51|26|1
śmieć|109|4|1
Teraz mu dzieci przeszkadaja jak komorowskiemu - dziad kalwaryjski|9|6|1
No i co zdrajca pochodzenia niemieckiego chce debaty o Polsce. Jak wróci to trybunał i na sybir z dziadem.|158|101|1
Nawet do tego się nie nadaje ta proniemiecka menda.|2|1|1
Jestes potworem piszac takie slowa czym sie zaznaczyles w historii ze masz prawo tak pisac uwierzyles w kaczyzm?|7|1|1
dlaczego Niemki nie golą sobie podbrzusza i okolic vaginy a polki odwrotnie? Ten problem spędza mi sen z powiek....|2|0|1
Lechu nic się martw pisdowcami, antysemicką polską bandą, psycholami rydzyka, zwykłymi prymitywnymi głupimi polaczkami na Zachodzie zawsze byłeś i zostaniesz Wielki!|6|0|1
Za swoje oszustwa,afery, jako premier- wycieraczka Merkel,ten TYP powinien milczeć.|102|62|1
Olewam Cię.|41|17|1
nie tylko członkowie rządu ale zwykli obywatele jak ja mają cię tusk za zdrajce narodu i złodzieja !!!!!!!!!!!!!!!!!!!!!!!!!!!|854|132|1
Tak --sPOdka sie =---ale z Prokuratorem. Jeszcze sierota nie POjął tego . ---No cóz,bronic takiego Prostaka moze tylko prostak albo jego Pachołek. .Myslał ze pełnił funcję prezydenta ,,  wyczyscił wszystkie swoje teczki. Nie udało sie ..Już za Oszołomów z PEŁO sprzedał go pies --który prowadził zdrajce na sznurku --ujawniając jego POkwitowania za sterowane POsuniecia komuny.T.ego nie zdołał zniszczyc. Tylko mały pdatny na manipulację --rozumek bedzie bronił zdrajcy i oszusta, jak tutaj widac są jeszcze jego płatne --POpychadła.|2|1|1
Głupi idioci. Gdyby nie Wałęsa i jemu podobni, mielibyśmy w Polsce to samo co w Rumunii w 1989. Trzeba było pójść na ustępstwa z komuchami, żeby nie polała się krew. Ręce precz od polskiej ikony "Solidarności". A gówniary do szkoły ...|2|1|1
Zdrajca. Targowica.|106|71|1
zdrajca, agent makreli i putana|104|63|1
Jak ci muzeły z tej oświeconej Europy zerżną córkę albo żonę to zatęsknisz za tymi "pseudokatolikami"|1|0|1
To sprawka nawiedzonych moherów na 100 % !!!|15|2|1
Sam jestes smieszny z ptasim mozdzkiem|5|1|1
Po powrocie do kraju powinien być aresztowany. To co robi Donek jest wbrew interesom narodowym !!!! Pod sąd z nim !!!!|108|4|1
